2024-05-06 18:09:42 CPU Usage: 20.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
a590ec851b1e   calculationservice    0.00%     2.984MiB / 1GiB       0.29%     39.8kB / 38.4kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     59.27%    261.9MiB / 1GiB       25.58%    3.21MB / 9.38MB   0B / 11.6MB     53
542de0862de7   gmapsadapter          0.00%     50.19MiB / 1GiB       4.90%     344kB / 28.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     16.1kB / 10.7kB   0B / 0B         5
9bc901cb6181   userservice           0.11%     1.468GiB / 2GiB       73.41%    76.1kB / 59.7kB   0B / 1.92MB     40
4b76beba0bca   logstash              0.48%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 1.04MB     40
9d48986e2e38   kibana                3.69%     479.5MiB / 1GiB       46.83%    2.27MB / 4.87MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.49%     545.6MiB / 2GiB       26.64%    715kB / 33.5kB    0B / 2.73MB     18
8e05f3f7005f   elasticsearch         1.54%     1.416GiB / 2GiB       70.79%    4.87MB / 2.18MB   0B / 4.53MB     87
8c8b2a42cbcb   mongo                 2.88%     42.48MiB / 1GiB       4.15%     5.73MB / 1.42MB   41kB / 7.32MB   22
7cac5634af4e   rabbitmq              4.03%     99.59MiB / 512MiB     19.45%    3.94MB / 3.88MB   0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.06%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.44%     841.5MiB / 1GiB       82.17%    127kB / 120kB     0B / 1.11MB     63 | Load Average:  1.49, 1.71, 2.00 | Process Count: 313 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.348/1.579/1.921/0.188 Avg:ms Max:
2024-05-06 18:10:53 CPU Usage: 53.8% | Memory Usage: 23.44% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           10.01%    210.1MiB / 1GiB       20.52%    4.74MB / 5.7MB    0B / 1.36MB     39
893a597ee7e4   tripmanagementquery   5.66%     256.7MiB / 1GiB       25.06%    5.18MB / 2.2MB    0B / 1.95MB     59
a590ec851b1e   calculationservice    0.00%     2.984MiB / 1GiB       0.29%     40.2kB / 38.9kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     16.11%    262.9MiB / 1GiB       25.67%    3.71MB / 10.8MB   0B / 17MB       53
542de0862de7   gmapsadapter          0.00%     50.19MiB / 1GiB       4.90%     344kB / 28.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     16.2kB / 10.8kB   0B / 0B         5
9bc901cb6181   userservice           0.10%     1.468GiB / 2GiB       73.41%    76.1kB / 59.7kB   0B / 1.93MB     40
4b76beba0bca   logstash              1.12%     483.4MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 1.07MB     40
9d48986e2e38   kibana                3.18%     479.5MiB / 1GiB       46.83%    2.28MB / 4.91MB   0B / 8.19kB     12
169fc0d27e17   monitor               1.18%     546.7MiB / 2GiB       26.69%    794kB / 37kB      0B / 2.77MB     18
8e05f3f7005f   elasticsearch         0.44%     1.416GiB / 2GiB       70.79%    4.91MB / 2.19MB   0B / 4.6MB      87
8c8b2a42cbcb   mongo                 3.00%     43.55MiB / 1GiB       4.25%     6.64MB / 1.64MB   41kB / 8.29MB   22
7cac5634af4e   rabbitmq              3.31%     99.59MiB / 512MiB     19.45%    4.56MB / 4.49MB   0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.05%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.63%     841.5MiB / 1GiB       82.18%    128kB / 121kB     0B / 1.11MB     63 | Load Average:  1.33, 1.67, 1.98 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.445/1.561/1.644/0.076 Avg:ms Max:
2024-05-06 18:11:01 CPU Usage: 30.3% | Memory Usage: 23.47% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           15.46%    210.1MiB / 1GiB       20.51%    5.28MB / 6.34MB   0B / 1.39MB     39
893a597ee7e4   tripmanagementquery   4.41%     256.8MiB / 1GiB       25.08%    5.86MB / 2.48MB   0B / 1.98MB     59
a590ec851b1e   calculationservice    0.15%     3.004MiB / 1GiB       0.29%     40.8kB / 39.7kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     16.51%    264.1MiB / 1GiB       25.79%    4.19MB / 12.3MB   0B / 17MB       53
542de0862de7   gmapsadapter          0.00%     50.19MiB / 1GiB       4.90%     344kB / 28.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.09%     1.656MiB / 1GiB       0.16%     16.3kB / 10.9kB   0B / 0B         5
9bc901cb6181   userservice           0.10%     1.468GiB / 2GiB       73.41%    76.1kB / 59.7kB   0B / 1.94MB     40
4b76beba0bca   logstash              0.57%     483.4MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 1.1MB      40
9d48986e2e38   kibana                3.94%     479.5MiB / 1GiB       46.83%    2.29MB / 4.97MB   0B / 8.19kB     12
169fc0d27e17   monitor               4.25%     547.8MiB / 2GiB       26.75%    883kB / 41kB      0B / 2.81MB     18
8e05f3f7005f   elasticsearch         2.00%     1.416GiB / 2GiB       70.79%    4.97MB / 2.21MB   0B / 4.67MB     87
8c8b2a42cbcb   mongo                 2.61%     44.57MiB / 1GiB       4.35%     7.51MB / 1.85MB   41kB / 9.23MB   22
7cac5634af4e   rabbitmq              14.74%    99.88MiB / 512MiB     19.51%    5.16MB / 5.08MB   0B / 3.34MB     41
0d83340eb2a1   mysqlserver           0.06%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.94%     841.5MiB / 1GiB       82.18%    129kB / 121kB     0B / 1.11MB     63 | Load Average:  1.39, 1.68, 1.98 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.442/1.776/2.011/0.192 Avg:ms Max:
2024-05-06 18:11:09 CPU Usage: 41.9% | Memory Usage: 23.46% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
