2024-05-06 13:30:28 CPU Usage: 78.1% | Memory Usage: 23.74% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.54, 3.95, 2.68 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.428/1.545/1.732/0.102 Avg:ms Max:
2024-05-06 13:30:33 CPU Usage: 91.9% | Memory Usage: 23.71% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.49, 3.94, 2.68 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.391/1.680/2.009/0.198 Avg:ms Max:
2024-05-06 13:30:38 CPU Usage: 12.9% | Memory Usage: 23.67% | I/O Usage (read write): 3.34 8.92 | Load Average:  4.17, 4.07, 2.73 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.458/1.664/2.015/0.191 Avg:ms Max:
2024-05-06 13:30:44 CPU Usage: 15.6% | Memory Usage: 23.67% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.84, 4.00, 2.71 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.285/1.532/1.977/0.255 Avg:ms Max:
2024-05-06 13:30:49 CPU Usage: 20.6% | Memory Usage: 23.67% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.53, 3.94, 2.70 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.303/1.478/1.727/0.156 Avg:ms Max:
2024-05-06 13:30:54 CPU Usage: 9.7% | Memory Usage: 23.67% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.25, 3.87, 2.68 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.350/1.535/1.776/0.173 Avg:ms Max:
2024-05-06 13:30:59 CPU Usage: 16.1% | Memory Usage: 23.66% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.99, 3.81, 2.67 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.277/1.512/1.669/0.132 Avg:ms Max:
2024-05-06 13:31:05 CPU Usage: 16.1% | Memory Usage: 23.66% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.75, 3.74, 2.66 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.376/1.539/1.774/0.130 Avg:ms Max:
2024-05-06 13:31:10 CPU Usage: 15.6% | Memory Usage: 23.66% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.53, 3.68, 2.64 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.409/1.686/1.893/0.181 Avg:ms Max:
2024-05-06 13:31:15 CPU Usage: 12.5% | Memory Usage: 23.66% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.33, 3.62, 2.63 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.341/1.591/1.771/0.176 Avg:ms Max:
